No,ABB,Countries,EU,Interests_IFS, Coupon_Bloomberg,Interests applied,Mbase,CurrIC,M0,seign1,Exchange ,seign2
1,USA,United States,n,0.0235,0.0225,0.0235,3713665.0000,1195201.0000,na,87302.0000,1.0000,87302.0000
2,CHN,China,n,na,0.0413,0.0413,na,na,5857444.0000,241912.0000,6.7700,35732.0000
3,JPN,Japan,n,0.0070,0.0050,0.0070,201847200.0000,94769600.0000,na,1413771.0000,87.7800,16106.0000
4,DEU,Germany,y,0.0157,0.0100,0.0157,na,na,na,na,0.7500,na
5,FRA,France,y,0.0220,0.0175,0.0220,na,na,na,na,0.7500,na
6,GBR,United Kingdom,n,0.0245,0.0275,0.0245,na,na,na,na,0.6500,na
7,BRA,Brazil,n,na,0.1000,0.1000,574550.0000,204052.0000,na,57455.0000,1.7600,32659.0000
8,RUS,Russian Federation,n,na,0.0700,0.0700,10503900.0000,8307500.0000,6985600.0000,735273.0000,30.3700,24212.0000
9,ITA,Italy,y,0.0432,0.0250,0.0432,na,na,na,na,0.7500,na
10,IND,India,n,na,0.0840,0.0840,na,na,na,na,45.7300,na
11,CAN,Canada,n,0.0272,0.0250,0.0272,66803.0000,66616.0000,na,1816.0000,1.0300,1763.0000
12,AUS,Australia,n,0.0370,0.0275,0.0370,63200.0000,63018.0000,na,2336.0000,1.0900,2143.0000
13,ESP,Spain,y,0.0456,0.0275,0.0456,na,na,na,na,0.7500,na
14,KOR,"Korea, Rep.",n,0.0316,0.0300,0.0316,104262012.0000,63242309.0000,na,3299719.0000,1156.0600,2854.0000
15,MEX,Mexico,n,0.0568,0.1000,0.0568,917876.0000,917875.0000,na,52112.0000,12.6400,4124.0000
16,IDN,Indonesia,n,na,0.0838,0.0838,891612465.0000,500020357.0000,na,74672544.0000,9090.4300,8214.0000
17,TUR,Turkey,n,na,0.0900,0.0900,263510.0000,74815.0000,na,23716.0000,1.5000,15781.0000
18,NLD,Netherlands,y,0.0196,0.0200,0.0196,na,na,na,na,0.7500,na
19,SAU,Saudi Arabia,n,na,0.0550,0.0550,343535.0000,na,na,18894.0000,3.7500,5039.0000
20,CHE,Switzerland,n,0.0125,0.0125,0.0125,380523.0000,na,na,4757.0000,1.0400,4561.0000
21,ARG,Argentina,n,na,0.1175,0.1175,377197.0000,na,na,44321.0000,3.9000,11375.0000
22,SWE,Sweden,n,0.0212,0.0250,0.0212,na,na,82359.0000,1747.0000,7.2100,242.0000
23,NGA,Nigeria,n,na,0.1420,0.1420,5443028.0000,1776813.0000,na,772910.0000,150.3000,5143.0000
24,POL,Poland,n,0.0403,0.0325,0.0403,na,na,164010.0000,6616.0000,3.0200,2194.0000
25,NOR,Norway,n,0.0192,0.0300,0.0192,na,na,na,na,6.0400,na
26,BEL,Belgium,y,0.0241,0.0260,0.0241,na,na,na,na,0.7500,na
27,VEN,"Venezuela, RB",n,0.1527,0.0775,0.1527,461148.0000,147253.0000,na,70394.0000,2.5800,27263.0000
28,AUT,Austria,y,0.0201,0.0165,0.0201,na,na,na,na,0.7500,na
29,THA,Thailand,n,0.0380,0.0385,0.0380,,1425282.0000,na,58062.0000,31.6900,1832.0000
30,ARE,United Arab Emirates,n,na,na,na,na,na,na,na,3.6700,na
31,COL,Colombia,n,na,0.1000,0.1000,65098798.0000,49095480.0000,na,6509880.0000,1898.5700,3429.0000
32,IRN,"Iran, Islamic Rep.",n,na,na,na,na,na,na,na,10254.1800,na
33,ZAF,South Africa,n,0.0772,0.1050,0.0772,191139.0000,119057.0000,193902.0000,14761.0000,7.3200,2016.0000
34,DNK,Denmark,n,0.0175,0.0175,0.0175,na,na,na,na,5.6200,na
35,MYS,Malaysia,n,0.0342,0.0418,0.0342,115825.0000,73031.0000,na,3966.0000,3.2200,1231.0000
36,SGP,Singapore,n,0.0206,0.0300,0.0206,na,na,na,na,1.3600,na
37,ISR,Israel,n,na,0.0375,0.0375,na,na,na,na,3.7400,na
38,CHL,Chile,n,na,0.0225,0.0225,8754474.0000,6917607.0000,na,196976.0000,510.2500,386.0000
39,HKG,"Hong Kong SAR, China",n,na,0.0184,0.0184,1255766.0000,na,na,23106.0000,7.7700,2974.0000
40,PHL,Philippines,n,na,0.1375,0.1375,1926202.0000,797452.0000,na,264853.0000,45.1100,5871.0000
41,EGY,"Egypt, Arab Rep.",n,na,0.1525,0.1525,406069.0000,264882.0000,na,61926.0000,5.6200,11015.0000
42,FIN,Finland,y,0.0186,0.0200,0.0186,na,na,na,na,0.7500,na
43,GRC,Greece,y,0.1005,0.0200,0.1005,na,na,na,na,0.7500,na
44,PAK,Pakistan,n,na,0.1200,0.1200,2708666.0000,2212092.0000,na,325040.0000,85.1900,3815.0000
45,KAZ,Kazakhstan,n,na,na,na,2825961.0000,1762907.0000,na,na,147.3600,na
46,IRQ,Iraq,n,na,na,na,73259280.0000,40630036.0000,73259000.0000,na,1170.0000,na
47,PRT,Portugal,y,0.0629,0.0565,0.0629,na,na,na,na,0.7500,na
48,IRL,Ireland,y,0.0379,0.0340,0.0379,na,na,na,na,0.7500,na
49,DZA,Algeria,n,na,na,na,4137804.0000,3247648.0000,na,na,74.3900,na
50,QAT,Qatar,n,na,0.0350,0.0350,44039.0000,12340.0000,na,1541.0000,3.6400,423.0000
51,PER,Peru,n,na,0.0735,0.0735,51937.0000,na,na,3817.0000,2.8300,1351.0000
52,CZE,Czech Republic,n,0.0220,0.0240,0.0220,na,na,na,na,19.1000,na
53,ROM,Romania,n,0.0425,0.0288,0.0425,68666.0000,40317.0000,na,2917.0000,3.1800,918.0000
54,NZL,New Zealand,n,0.0352,0.0550,0.0352,na,na,na,na,1.3900,na
55,KWT,Kuwait,n,na,0.0313,0.0313,6832.0000,1481.0000,na,213.0000,0.2900,745.0000
56,UKR,Ukraine,n,na,0.0750,0.0750,307139.0000,261870.0000,237777.0000,23035.0000,7.9400,2903.0000
57,VNM,Vietnam,n,na,0.0640,0.0640,na,na,na,na,18612.9200,na
58,HUN,Hungary,n,0.0592,0.0550,0.0592,3795900.0000,na,na,224844.0000,207.9400,1081.0000
59,BGD,Bangladesh,n,na,na,na,1204540.0000,819032.0000,na,na,69.6500,na
60,AGO,Angola,n,0.0825,0.0775,0.0825,1160258.0000,410182.0000,na,95721.0000,91.9100,1042.0000
61,MAR,Morocco,n,na,0.0455,0.0455,205098.0000,182080.0000,na,9332.0000,8.4200,1109.0000
62,PRI,Puerto Rico,n,na,na,na,na,na,na,na,1.0000,na
63,SVK,Slovak Republic,y,0.0319,0.0338,0.0319,na,na,na,na,0.7500,na
64,ECU,Ecuador,n,na,0.0650,0.0650,4853.0000,87.0000,na,315.0000,0.2500,1262.0000
65,OMN,Oman,n,na,0.0550,0.0550,2652.0000,1343.0000,na,146.0000,0.3800,379.0000
66,LBY,Libya,n,na,na,na,36887.0000,na,na,na,1.2700,na
67,AZE,Azerbaijan,n,na,na,na,11794.0000,11034.0000,na,na,0.8000,na
68,BLR,Belarus,n,na,na,na,34388380.0000,17892861.0000,na,na,2978.5100,na
69,CUB,Cuba,n,na,na,na,na,na,na,na,1.0000,na
70,LKA,Sri Lanka,n,na,0.1000,0.1000,na,na,na,na,113.0600,na
,,,,,,,,,,,,
,,,,,,,millions,millions,millions,millions LCU,LCU,millions USD
